point_x_m,point_y_m,boundary_case,charge_case,phi_total_V,phi_boundary_V,phi_charge_V,stderr_total_V,stderr_boundary_V,stderr_charge_V
0.02,0.02,BC1_all_edges_+100V,Q0_zero_charge,100.0,100.0,0.0,0.3021885475659195,0.3021885475659195,0.0
0.02,0.02,BC1_all_edges_+100V,Q1_uniform_10,100.03716978,100.0,0.037169780000000006,0.3021885498780192,0.3021885475659195,3.738154767868768e-05
0.02,0.02,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.00060290461,100.0,0.0006029046100000001,0.3021885475678916,0.3021885475659195,1.0917341761274386e-06
0.02,0.02,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.00011005674752,100.0,0.00011005674751231727,0.3021885475661825,0.3021885475659195,3.9870104649757105e-07
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,-0.31999999999999845,-0.31999999999999845,0.0,0.3021885475659195,0.3021885475659195,0.0
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-0.28283021999999847,-0.31999999999999845,0.037169780000000006,0.3021885498780192,0.3021885475659195,3.738154767868768e-05
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-0.31939709538999844,-0.31999999999999845,0.0006029046100000001,0.3021885475678916,0.3021885475659195,1.0917341761274386e-06
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-0.31988994325248615,-0.31999999999999845,0.00011005674751231727,0.3021885475661825,0.3021885475659195,3.9870104649757105e-07
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,100.108,100.108,0.0,0.4288403883031541,0.4288403883031541,0.0
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,100.14516978,100.108,0.037169780000000006,0.42884038993240836,0.4288403883031541,3.738154767868768e-05
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,100.10860290461001,100.108,0.0006029046100000001,0.42884038830454374,0.4288403883031541,1.0917341761274386e-06
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,100.10811005674752,100.108,0.00011005674751231727,0.4288403883033394,0.4288403883031541,3.9870104649757105e-07
0.02,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.0,100.0,0.0,0.30297236936724115,0.30297236936724115,0.0
0.02,0.5,BC1_all_edges_+100V,Q1_uniform_10,100.25999067,100.0,0.25999067000000003,0.30297239092124706,0.30297236936724115,0.00011428270624655771
0.02,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.01305529512,100.0,0.01305529512,0.3029723694281529,0.30297236936724115,6.075292581984432e-06
0.02,0.5,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.00201364372239,100.0,0.0020136437223927115,0.30297236937254984,0.30297236936724115,1.7935374040035275e-06
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,-93.202,-93.202,0.0,0.30297236936724115,0.30297236936724115,0.0
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-92.94200933,-93.202,0.25999067000000003,0.30297239092124706,0.30297236936724115,0.00011428270624655771
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-93.18894470488,-93.202,0.01305529512,0.3029723694281529,0.30297236936724115,6.075292581984432e-06
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-93.1999863562776,-93.202,0.0020136437223927115,0.30297236937254984,0.30297236936724115,1.7935374040035275e-06
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,192.68400000000003,192.68400000000003,0.0,0.6069612084474593,0.6069612084474593,0.0
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,192.94399067000003,192.68400000000003,0.25999067000000003,0.6069612192064144,0.6069612084474593,0.00011428270624655771
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,192.69705529512004,192.68400000000003,0.01305529512,0.6069612084778642,0.6069612084474593,6.075292581984432e-06
