point_x_m,point_y_m,boundary_case,charge_case,phi_total_V,phi_boundary_V,phi_charge_V,stderr_total_V,stderr_boundary_V,stderr_charge_V
0.5,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.0000000000001,100.0000000000001,0.0,0.3157238311246081,0.3157238311246081,0.0
0.5,0.5,BC1_all_edges_+100V,Q1_uniform_10,102.9410068200001,100.0000000000001,2.94100682,0.3157240660924326,0.3157238311246081,0.0003851881860700118
0.5,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.1472279089401,100.0000000000001,0.14722790894000004,0.3157238318012267,0.3157238311246081,2.0670008459741032e-05
0.5,0.5,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.05067116394825,100.0000000000001,0.050671163948159334,0.315723831267947,0.3157238311246081,9.513728646010011e-06
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,0.1340000000000025,0.1340000000000025,0.0,0.3157238311246081,0.3157238311246081,0.0
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,3.0750068200000027,0.1340000000000025,2.94100682,0.3157240660924326,0.3157238311246081,0.0003851881860700118
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,0.28122790894000255,0.1340000000000025,0.14722790894000004,0.3157238318012267,0.3157238311246081,2.0670008459741032e-05
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,0.18467116394816185,0.1340000000000025,0.050671163948159334,0.315723831267947,0.3157238311246081,9.513728646010011e-06
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,0.8499999999999828,0.8499999999999828,0.0,0.7729867396275312,0.7729867396275312,0.0
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,3.791006819999983,0.8499999999999828,2.94100682,0.7729868355993776,0.7729867396275312,0.0003851881860700118
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,0.9972279089399828,0.8499999999999828,0.14722790894000004,0.7729867399038938,0.7729867396275312,2.0670008459741032e-05
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,0.9006711639481421,0.8499999999999828,0.050671163948159334,0.7729867396860775,0.7729867396275312,9.513728646010011e-06
0.02,0.02,BC1_all_edges_+100V,Q0_zero_charge,99.99999999999994,99.99999999999994,0.0,0.30218854756591934,0.30218854756591934,0.0
0.02,0.02,BC1_all_edges_+100V,Q1_uniform_10,100.03716977999994,99.99999999999994,0.037169780000000006,0.302188549878019,0.30218854756591934,3.738154767868768e-05
0.02,0.02,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.00060290460995,99.99999999999994,0.0006029046100000001,0.30218854756789143,0.30218854756591934,1.0917341761274386e-06
0.02,0.02,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.00011005674746,99.99999999999994,0.00011005674751231727,0.30218854756618235,0.30218854756591934,3.9870104649757105e-07
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,-0.31999999999998785,-0.31999999999998785,0.0,0.30218854756591934,0.30218854756591934,0.0
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-0.28283021999998786,-0.31999999999998785,0.037169780000000006,0.302188549878019,0.30218854756591934,3.738154767868768e-05
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-0.31939709538998784,-0.31999999999998785,0.0006029046100000001,0.30218854756789143,0.30218854756591934,1.0917341761274386e-06
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-0.31988994325247555,-0.31999999999998785,0.00011005674751231727,0.30218854756618235,0.30218854756591934,3.9870104649757105e-07
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,100.10799999999999,100.10799999999999,0.0,0.42884038830315413,0.42884038830315413,0.0
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,100.14516977999999,100.10799999999999,0.037169780000000006,0.4288403899324085,0.42884038830315413,3.738154767868768e-05
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,100.10860290461,100.10799999999999,0.0006029046100000001,0.4288403883045438,0.42884038830315413,1.0917341761274386e-06
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,100.1081100567475,100.10799999999999,0.00011005674751231727,0.4288403883033395,0.42884038830315413,3.9870104649757105e-07
0.02,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.00000000000001,100.00000000000001,0.0,0.3029723693672411,0.3029723693672411,0.0
0.02,0.5,BC1_all_edges_+100V,Q1_uniform_10,100.25999067000001,100.00000000000001,0.25999067000000003,0.302972390921247,0.3029723693672411,0.00011428270624655771
0.02,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.01305529512001,100.00000000000001,0.01305529512,0.30297236942815287,0.3029723693672411,6.075292581984432e-06
0.02,0.5,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.0020136437224,100.00000000000001,0.0020136437223927115,0.3029723693725498,0.3029723693672411,1.7935374040035275e-06
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,-93.20200000000001,-93.20200000000001,0.0,0.3029723693672411,0.3029723693672411,0.0
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-92.94200933000002,-93.20200000000001,0.25999067000000003,0.302972390921247,0.3029723693672411,0.00011428270624655771
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-93.18894470488002,-93.20200000000001,0.01305529512,0.30297236942815287,0.3029723693672411,6.075292581984432e-06
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-93.19998635627762,-93.20200000000001,0.0020136437223927115,0.3029723693725498,0.3029723693672411,1.7935374040035275e-06
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,192.68400000000005,192.68400000000005,0.0,0.606961208447459,0.606961208447459,0.0
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,192.94399067000006,192.68400000000005,0.25999067000000003,0.6069612192064142,0.606961208447459,0.00011428270624655771
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,192.69705529512007,192.68400000000005,0.01305529512,0.606961208477864,0.606961208447459,6.075292581984432e-06
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,192.68601364372245,192.68400000000005,0.0020136437223927115,0.6069612084501089,0.606961208447459,1.7935374040035275e-06
